Ключевое слово,Автор,Тип,Сопровождение,Вопрос,Начальная форма,Роль,Собственное ли,Одушевлённость,Род,Склонение,Число,Падеж,Разряд,Полнота формы,Степень сравнения,Совершенность,Возвратность,Переходность,Спряжение,Наклонение,Время,Лицо,Структура,Количественное/порядковое,Действительное/страдательное,Производность,Подразряд
Всякий,Н. В. Гоголь,Прилагательное,"Покамест ему подавались разные обычные в трактирах блюда, как то: щи с слоёным пирожком, нарочно сберегаемым для проезжающих в течение нескольких неделей, мозги с горошком, сосиски с капустой, пулярка жареная, огурец солёный и вечный слоёный сладкий пирожок, всегда готовый к услугам, он заставил слугу, или полового, рассказывать всякий вздор о том, кто содержал прежде трактир и кто теперь, и много ли даёт дохода, и большой ли подлец их хозяин; на что половой, по обыкновению, отвечал: «О, большой, сударь, мошенник».",какой,всякий,определение.,,,м.р.,,ед.ч.,В.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Почтенных,Н. В. Гоголь,Прилагательное,"Как в просвещённой Европе, так и в просвещённой России есть теперь весьма много почтенных людей, которые без того не могут покушать в трактире, чтоб не поговорить со слугою, а иногда даже забавно пошутить над ним.",каких,почтенный,определение.,,,,,мн.ч.,Р.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
(в) Просвещённой,Н. В. Гоголь,Прилагательное,"Как в просвещённой Европе, так и в просвещённой России есть теперь весьма много почтенных людей, которые без того не могут покушать в трактире, чтоб не поговорить со слугою, а иногда даже забавно пошутить над ним.",какой,просвещённый,определение.,,,ж.р.,,ед.ч.,П.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
(о) Крестьянском,И. С. Тургенев,Прилагательное,"Мы толковали о посеве, об урожае, о крестьянском быте.",каком,крестьянский,определение.,,,м.р.,,ед.ч.,П.п.,относит.,полн.ф.,,,,,,,,,,,,,
Молодая,А. С. Пушкин,Прилагательное,"Была та смутная пора, когда Россия молодая, в бореньях силы напрягая, мужала с гением Петра.",какая,молодой,определение.,,,ж.р.,,ед.ч.,И.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
(на) Высохшем,И. С. Тургенев,Прилагательное,"На высохшем мхе, на лиловом бурьяне, на мягкой пыли дороги, на тонких стволах, на чистых листочках молодых берёз лежал ясный и кроткий свет уже беззнойного невысокого солнца.",каком,высохший,определение.,,,м.р.,,ед.ч.,П.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
(на) Мягкой,И. С. Тургенев,Прилагательное,"На высохшем мхе, на лиловом бурьяне, на мягкой пыли дороги, на тонких стволах, на чистых листочках молодых берёз лежал ясный и кроткий свет уже беззнойного невысокого солнца.",какой,мягкий,определение.,,,ж.р.,,ед.ч.,П.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Кроткий,И. С. Тургенев,Прилагательное,"На высохшем мхе, на лиловом бурьяне, на мягкой пыли дороги, на тонких стволах, на чистых листочках молодых берёз лежал ясный и кроткий свет уже беззнойного невысокого солнца.",какой,кроткий,определение.,,,м.р.,,ед.ч.,И.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Невысокого,И. С. Тургенев,Прилагательное,"На высохшем мхе, на лиловом бурьяне, на мягкой пыли дороги, на тонких стволах, на чистых листочках молодых берёз лежал ясный и кроткий свет уже беззнойного невысокого солнца.",какого,невысокий,определение.,,,м.р.,,ед.ч.,Р.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Беззнойного,И. С. Тургенев,Прилагательное,"На высохшем мхе, на лиловом бурьяне, на мягкой пыли дороги, на тонких стволах, на чистых листочках молодых берёз лежал ясный и кроткий свет уже беззнойного невысокого солнца.",какого,беззнойный,определение.,,,м.р.,,ед.ч.,Р.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Трогательно-нежным,Н. В. Гоголь,Прилагательное,"Несмотря на то что минуло более восьми лет их супружеству, из них всё ещё каждый приносил другому или кусочек яблочка, или конфетку, или орешек и говорил трогательно-нежным голосом: «Разинь, душенька, свой ротик, я тебе положу этот кусочек».",каким,трогательно-нежный,определение.,,,м.р.,,ед.ч.,Т.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
(в) Нагорной,Л. К. Татьяничева,Прилагательное,И каждый ствол в той рощице нагорной из сплава необычного отлит.,какой,нагорный,определение.,,,ж.р.,,ед.ч.,П.п.,относит.,полн.ф.,,,,,,,,,,,,,
(из) Необычного,Л. К. Татьяничева,Прилагательное,И каждый ствол в той рощице нагорной из сплава необычного отлит.,какого,необычный,определение.,,,м.р.,,ед.ч.,Р.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
(в) Лучшем,И. С. Тургенев,Прилагательное,Он прекрасно одевался и всегда останавливался в лучшем номере лучшей гостиницы.,каком,лучший,определение.,,,м.р.,,ед.ч.,П.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Восковая,Н. А. Некрасов,Прилагательное,"Погас он, словно свеченька восковая, предыконная.",какая,восковой,определение.,,,ж.р.,,ед.ч.,И.п.,относит.,полн.ф.,,,,,,,,,,,,,
Подыконная,Н. А. Некрасов,Прилагательное,"Погас он, словно свеченька восковая, предыконная.",какая,подыконный,определение.,,,,,мн.ч.,И.п.,относит.,полн.ф.,,,,,,,,,,,,,
Бездонная,Н. А. Некрасов,Прилагательное,"Мало слов, а горя — реченька, горя — реченька бездонная.",какая,бездонный,определение.,,,ж.р.,,ед.ч.,И.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Девятилетний,А. П. Чехов,Прилагательное,"Ванька Жуков, девятилетний мальчик, отданный три месяца тому назад в ученье к сапожнику Аляхину, в ночь под Рождество не ложился спать.",какой,девятилетний,определение.,,,м.р.,,ед.ч.,И.п.,относит.,полн.ф.,,,,,,,,,,,,,
Рыжеватой,С. А. Есенин,Прилагательное,И играет зайчик солнца в рыжеватой бороде.,какой,рыжеватый,определение.,,,ж.р.,,ед.ч.,Т.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Приятное,И. С. Тургенев,Прилагательное,Удивительно приятное занятие лежать на спине в лесу и глядеть вверх!,какое,приятный,определение.,,,ср.р.,,ед.ч.,И.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Красноватой,И. С. Тургенев,Прилагательное,"На красноватой траве, на былинках, на соломинках — всюду блестели и волновались бесчисленные нити весенних паутин.",какой,красноватый,определение.,,,ж.р.,,ед.ч.,П.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Бесчисленные,И. С. Тургенев,Прилагательное,"На красноватой траве, на былинках, на соломинках — всюду блестели и волновались бесчисленные нити весенних паутин.",какие,бесчисленный,определение.,,,,,мн.ч.,И.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
(на) Задние,М. М. Пришвин,Прилагательное,"Она стала на завалинку, поднялась на задние лапы.",какие,задний,определение.,,,,,мн.ч.,В.п.,относит.,полн.ф.,,,,,,,,,,,,,
Береговых,М. М. Пришвин,Прилагательное,От всего богатства береговых зарослей корзиночной ивы торчит одна-единственная ивинка.,каких,береговой,определение.,,,,,мн.ч.,Р.п.,относит.,полн.ф.,,,,,,,,,,,,,
Одна-единственная,М. М. Пришвин,Прилагательное,От всего богатства береговых зарослей корзиночной ивы торчит одна-единственная ивинка.,какая,один-единственный,определение.,,,ж.р.,,ед.ч.,И.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Корзиночной,М. М. Пришвин,Прилагательное,От всего богатства береговых зарослей корзиночной ивы торчит одна-единственная ивинка.,какой,корзиночный,определение.,,,ж.р.,,ед.ч.,Р.п.,относит.,полн.ф.,,,,,,,,,,,,,
Длинные,М. М. Пришвин,Прилагательное,"Каждую пару кольев они связывают перекладиной, с каждой перекладинки на другую прибивают гвоздями длинные жерди.",какие,длинный,определение.,,,,,мн.ч.,В.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Страшные,А. С. Пушкин,Прилагательное,"Он перевозчика зовёт, и перевозчик беззаботный его за гривенник охотно чрез волны страшные везёт.",какие,страшный,определение.,,,,,мн.ч.,В.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Беззаботный,А. С. Пушкин,Прилагательное,"Он перевозчика зовёт, и перевозчик беззаботный его за гривенник охотно чрез волны страшные везёт.",какой,беззаботный,определение.,,,м.р.,,ед.ч.,И.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
(в) Вечерних,А. П. Чехов,Прилагательное,В вечерних сумерках показался большой одноэтажный дом с ржавой железной крышей и с тёмными окнами.,каких,вечерний,определение.,,,,,ед.ч.,П.п.,относит.,полн.ф.,,,,,,,,,,,,,
(с) Ржавой,А. П. Чехов,Прилагательное,В вечерних сумерках показался большой одноэтажный дом с ржавой железной крышей и с тёмными окнами.,какой,ржавый,определение.,,,ж.р.,,ед.ч.,Т.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Железной,А. П. Чехов,Прилагательное,В вечерних сумерках показался большой одноэтажный дом с ржавой железной крышей и с тёмными окнами.,какой,железный,определение.,,,ж.р.,,ед.ч.,Т.п.,относит.,полн.ф.,,,,,,,,,,,,,
Тёмными,А. П. Чехов,Прилагательное,В вечерних сумерках показался большой одноэтажный дом с ржавой железной крышей и с тёмными окнами.,какими,"тёмный,темный",определение.,,,,,мн.ч.,Т.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Постоялым,А. П. Чехов,Прилагательное,"Этот дом назывался постоялым двором, хотя возле него никакого двора не было и стоял он посреди степи, ничем не огороженный.",каким,постоялый,определение.,,,м.р.,,ед.ч.,Т.п.,относит.,полн.ф.,,,,,,,,,,,,,
Жалкий,А. П. Чехов,Прилагательное,"Несколько в стороне от него темнел жалкий вишнёвый садик с плетнём, да под окнами, склонив свои тяжёлые головы, стояли спавшие подсолнечники.",какой,жалкий,определение.,,,м.р.,,ед.ч.,И.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Вишнёвый,А. П. Чехов,Прилагательное,"Несколько в стороне от него темнел жалкий вишнёвый садик с плетнём, да под окнами, склонив свои тяжёлые головы, стояли спавшие подсолнечники.",какой,"вишнёвый,вишневый",определение.,,,м.р.,,ед.ч.,И.п.,относит.,полн.ф.,,,,,,,,,,,,,
Незваных,О. Э. Мандельштам,Прилагательное,"Мы ждём гостей, незваных и непрошеных, мы ждём гостей!",каких,незваный,определение.,,,,,мн.ч.,Р.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Непрошеных,О. Э. Мандельштам,Прилагательное,"Мы ждём гостей, незваных и непрошеных, мы ждём гостей!",каких,непрошеный,определение.,,,,,мн.ч.,Р.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Женский,А. П. Чехов,Прилагательное,"Едва бричка остановилась около крылечка с навесом, как в доме послышались радостные голоса — один мужской, другой женский, — завизжала дверь на блоке, и около брички в одно мгновение выросла высокая тощая фигура, размахивавшая руками и фалдами.",какой,женский,определение.,,,м.р.,,ед.ч.,И.п.,относит.,полн.ф.,,,,,,,,,,,,,
Тощая,А. П. Чехов,Прилагательное,"Едва бричка остановилась около крылечка с навесом, как в доме послышались радостные голоса — один мужской, другой женский, — завизжала дверь на блоке, и около брички в одно мгновение выросла высокая тощая фигура, размахивавшая руками и фалдами.",какая,тощий,определение.,,,ж.р.,,ед.ч.,И.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Высокая,А. П. Чехов,Прилагательное,"Едва бричка остановилась около крылечка с навесом, как в доме послышались радостные голоса — один мужской, другой женский, — завизжала дверь на блоке, и около брички в одно мгновение выросла высокая тощая фигура, размахивавшая руками и фалдами.",какая,высокий,определение.,,,ж.р.,,ед.ч.,И.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Немолодой,А. П. Чехов,Прилагательное,"Это был хозяин постоялого двора Мойсей Мойсеич, немолодой человек с очень бледным лицом и с чёрной, как тушь, красивой бородой.",какой,немолодой,определение.,,,м.р.,,ед.ч.,И.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Бледным,А. П. Чехов,Прилагательное,"Это был хозяин постоялого двора Мойсей Мойсеич, немолодой человек с очень бледным лицом и с чёрной, как тушь, красивой бородой.",каким,бледный,определение.,,,м.р.,,ед.ч.,Т.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Красивым,А. П. Чехов,Прилагательное,"Это был хозяин постоялого двора Мойсей Мойсеич, немолодой человек с очень бледным лицом и с чёрной, как тушь, красивой бородой.",каким,красивый,определение.,,,м.р.,,ед.ч.,Т.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Поношенный,А. П. Чехов,Прилагательное,"Одет он был в поношенный чёрный сюртук, который болтался на его узких плечах, как на вешалке, и взмахивал фалдами, точно крыльями, всякий раз, как Мойсей Мойсеич от радости или в ужасе всплёскивал руками.",какой,поношенный,определение.,,,м.р.,,ед.ч.,И.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Занята,М. Ю. Лермонтов,Прилагательное,К которой избе не подъедем — занята.,какова,занятый,сказуемое.,,,ж.р.,,ед.ч.,И.п.,качеств.,кр.ф.,положит.,,,,,,,,,,,,
Узких,А. П. Чехов,Прилагательное,"Одет он был в поношенный чёрный сюртук, который болтался на его узких плечах, как на вешалке, и взмахивал фалдами, точно крыльями, всякий раз, как Мойсей Мойсеич от радости или в ужасе всплёскивал руками.",каких,узкий,определение.,,,,,мн.ч.,П.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Широкие,А. П. Чехов,Прилагательное,"Кроме сюртука, на хозяине были ещё широкие белые панталоны навыпуск и бархатная жилетка с рыжими цветами, похожими на гигантских клопов.",какие,широкий,определение.,,,,,мн.ч.,И.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Бархатная,А. П. Чехов,Прилагательное,"Кроме сюртука, на хозяине были ещё широкие белые панталоны навыпуск и бархатная жилетка с рыжими цветами, похожими на гигантских клопов.",какая,бархатный,определение.,,,ж.р.,,ед.ч.,И.п.,относит.,полн.ф.,,,,,,,,,,,,,
Рыжими,А. П. Чехов,Прилагательное,"Кроме сюртука, на хозяине были ещё широкие белые панталоны навыпуск и бархатная жилетка с рыжими цветами, похожими на гигантских клопов.",какими,рыжий,определение.,,,,,мн.ч.,Т.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Макаронную,В. Ильин,Прилагательное,"Нужно поспать хотя бы часа три, а то весь день будешь иметь бледный вид и макаронную походку.",какую,макаронный,определение.,,,ж.р.,,ед.ч.,В.п.,относит.,полн.ф.,,,,,,,,,,,,,
Нудный,С. П. Антонов,Прилагательное,"Дождь шёл нудный, равномерный, без грома и молнии, но густой и непрозрачный.",какой,нудный,определение.,,,м.р.,,ед.ч.,И.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Равномерный,С. П. Антонов,Прилагательное,"Дождь шёл нудный, равномерный, без грома и молнии, но густой и непрозрачный.",какой,равномерный,определение.,,,м.р.,,ед.ч.,И.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Густой,С. П. Антонов,Прилагательное,"Дождь шёл нудный, равномерный, без грома и молнии, но густой и непрозрачный.",какой,густой,определение.,,,м.р.,,ед.ч.,В.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Непрозрачный,С. П. Антонов,Прилагательное,"Дождь шёл нудный, равномерный, без грома и молнии, но густой и непрозрачный.",какой,непрозрачный,определение.,,,м.р.,,ед.ч.,В.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Слышимый,И. Л. Андроников,Прилагательное,"Мы сбежали, наконец, в слышимый мир, на каменистое русло пенистой, шумной Арагвы, к малолюдным осетинским селениям, обведённым оградами из плоских камней.",какой,слышимый,определение.,,,м.р.,,ед.ч.,Р.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Каменистое,И. Л. Андроников,Прилагательное,"Мы сбежали, наконец, в слышимый мир, на каменистое русло пенистой, шумной Арагвы, к малолюдным осетинским селениям, обведённым оградами из плоских камней.",какое,каменистый,определение.,,,ср.р.,,ед.ч.,Р.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Пенистой,И. Л. Андроников,Прилагательное,"Мы сбежали, наконец, в слышимый мир, на каменистое русло пенистой, шумной Арагвы, к малолюдным осетинским селениям, обведённым оградами из плоских камней.",какой,пенистый,определение.,,,ж.р.,,ед.ч.,Д.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Шумной,И. Л. Андроников,Прилагательное,"Мы сбежали, наконец, в слышимый мир, на каменистое русло пенистой, шумной Арагвы, к малолюдным осетинским селениям, обведённым оградами из плоских камней.",какой,шумный,определение.,,,ж.р.,,ед.ч.,Д.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Малолюдным,И. Л. Андроников,Прилагательное,"Мы сбежали, наконец, в слышимый мир, на каменистое русло пенистой, шумной Арагвы, к малолюдным осетинским селениям, обведённым оградами из плоских камней.",каким,малолюдный,определение.,,,м.р.,,ед.ч.,Р.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Осетинским,И. Л. Андроников,Прилагательное,"Мы сбежали, наконец, в слышимый мир, на каменистое русло пенистой, шумной Арагвы, к малолюдным осетинским селениям, обведённым оградами из плоских камней.",каким,осетинский,определение.,,,м.р.,,ед.ч.,И.п.,относит.,полн.ф.,,,,,,,,,,,,,
Плоских,И. Л. Андроников,Прилагательное,"Мы сбежали, наконец, в слышимый мир, на каменистое русло пенистой, шумной Арагвы, к малолюдным осетинским селениям, обведённым оградами из плоских камней.",каких,плоский,определение.,,,,,мн.ч.,П.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Одноглазое,М. Горький,Прилагательное,"Теперь его одноглазое кожаное лицо, всё в глубоких складках и зеленовато-серых, точно плесень, волосах, стало хитрым и ликующим.",какое,одноглазый,определение.,,,ср.р.,,ед.ч.,П.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Глубоких,М. Горький,Прилагательное,"Теперь его одноглазое кожаное лицо, всё в глубоких складках и зеленовато-серых, точно плесень, волосах, стало хитрым и ликующим.",каких,глубокий,определение.,,,,,мн.ч.,Т.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Зеленовато-серых,М. Горький,Прилагательное,"Теперь его одноглазое кожаное лицо, всё в глубоких складках и зеленовато-серых, точно плесень, волосах, стало хитрым и ликующим.",каких,зеленовато-серый,определение.,,,,,мн.ч.,Т.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Хитрым,М. Горький,Прилагательное,"Теперь его одноглазое кожаное лицо, всё в глубоких складках и зеленовато-серых, точно плесень, волосах, стало хитрым и ликующим.",каким,хитрый,определение.,,,м.р.,,ед.ч.,П.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Ликующим,М. Горький,Прилагательное,"Теперь его одноглазое кожаное лицо, всё в глубоких складках и зеленовато-серых, точно плесень, волосах, стало хитрым и ликующим.",каким,ликующий,определение.,,,м.р.,,ед.ч.,Т.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Оленьей,В. Г. Лидин,Прилагательное,Впереди неё стояла женщина в оленьей дошке.,какой,олений,определение.,,,ж.р.,,ед.ч.,И.п.,притяж.,полн.ф.,,,,,,,,,,,,,
Воробьиными,Ф. А. Абрамов,Прилагательное,"Даже дети и те притихли, воробьиными стайками жались к взрослым.",какими,воробьиный,определение.,,,,,мн.ч.,И.п.,притяж.,полн.ф.,,,,,,,,,,,,,
Дровяной,Б. Л. Пастернак,Прилагательное,"И опять кольнут доныне неотпущенной виной, и окно по крестовине сдавит голод дровяной.",какой,дровяной,определение.,,,ж.р.,,ед.ч.,П.п.,относит.,полн.ф.,,,,,,,,,,,,,
Голубые,И. С. Тургенев,Прилагательное,"Всюду пестрели голубые гроздья журавлиного гороха, золотые чашечки куриной слепоты, цветы ивана-да-марьи.",какие,голубой,определение.,,,,,мн.ч.,П.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Некрашеных,"А. А, Ахматова",Прилагательное,Лучше бы на площади зелёной на помост некрашеный прилечь..,каких,некрашеный,определение.,,,,,мн.ч.,И.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Дублёных,П. Н. Шубин,Прилагательное,"В романовских дублёных полушубках лежат в снегу — не слышны, не видны.",каких,"дублёный,дубленый",определение.,,,,,мн.ч.,И.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Обнажённые,В. С. Высоцкий,Прилагательное,Обнажённые нервы Земли наземное страдание знают.,какие,"обнажённый,обнаженный",определение.,,,,,мн.ч.,И.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Рассеянный,"С. Я, Маршак",Прилагательное,Жил человек рассеянный на улице Бассейной.,какой,рассеянный,определение.,,,м.р.,,ед.ч.,П.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Ветреная,С. Т. Аксаков,Прилагательное,"Тянулась глубокая осень, уже не сырая и дождливая, а сухая, ветреная и морозная.",какая,ветреный,определение.,,,ж.р.,,ед.ч.,П.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Кожаных,И. А. Бунин,Прилагательное,"Потом примешься за книги — дедовские книги в толстых кожаных переплётах, с золотыми звёздочками на сафьянных корешках. ",каких,кожаный,определение.,,,,,мн.ч.,И.п.,относит.,полн.ф.,,,,,,,,,,,,,
Сафьянных,И. А. Бунин,Прилагательное,"Потом примешься за книги — дедовские книги в толстых кожаных переплётах, с золотыми звёздочками на сафьянных корешках. ",каких,сафьянный,определение.,,,,,мн.ч.,И.п.,относит.,полн.ф.,,,,,,,,,,,,,
Деревянный,С. А. Есенин,Прилагательное,"Я любил этот дом деревянный, в брёвнах теплилась грозная мощь…",какой,деревянный,определение.,,,м.р.,,ед.ч.,И.п.,относит.,полн.ф.,,,,,,,,,,,,,
Буйная,Ф. А. Абрамов,Прилагательное,"Из каждой расщелины прёт буйная, толстокожая зелень.",какая,буйный,определение.,,,ж.р.,,ед.ч.,Р.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Печально-строгий,Н. С. Гумелёв,Прилагательное,"Он не солгал нам, дух печально-строгий, принявший имя утренней звезды.",какой,печально-строгий,определение.,,,м.р.,,ед.ч.,И.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Сладкозвучных,А. С. Пушкин,Прилагательное,"Бродя над озером моим, пугаю стадо диких уток: вняв пенью сладкозвучных строф, они слетают с берегов.",каких,сладкозвучный,определение.,,,,,мн.ч.,И.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Медно-ствольная,Ф. А. Абрамов,Прилагательное,"Косматится чёрный ельник по низинам, да на крутых краснобоких щельях качается звонкая медно-ствольная сосна.",какая,медно-ствольный,определение.,,,ж.р.,,ед.ч.,И.п.,относит.,полн.ф.,,,,,,,,,,,,,
Бледно-лиловый,И. С. Тургенев,Прилагательное,"Цвет небосклона лёгкий, бледно-лиловый, не изменяется весь день и кругом одинаков.",какой,бледно-лиловый,определение.,,,м.р.,,ед.ч.,И.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Одинаков,И. С. Тургенев,Прилагательное,"Цвет небосклона лёгкий, бледно-лиловый, не изменяется весь день и кругом одинаков.",каков,одинаковый,,,,м.р.,,ед.ч.,И.п.,качеств.,кр.ф.,положит.,,,,,,,,,,,,
Солнечнее,Н. Н. Михайлов,Прилагательное,"Как это ни кажется странным, северо-западный охотский берег летом солнечнее и теплее юго-восточного тихоокеанского.",как,солнечный,определение.,,,,,,,качеств.,кр.ф.,сравнит.,,,,,,,,,,,,
Теплее,Н. Н. Михайлов,Прилагательное,"Как это ни кажется странным, северо-западный охотский берег летом солнечнее и теплее юго-восточного тихоокеанского.",как,"тёплый,теплый",определение.,,,,,,,качеств.,кр.ф.,сравнит.,,,,,,,,,,,,
Северо-западный,Н. Н. Михайлов,Прилагательное,"Как это ни кажется странным, северо-западный охотский берег летом солнечнее и теплее юго-восточного тихоокеанского.",какой,северо-западный,определение.,,,м.р.,,ед.ч.,И.п.,относит.,полн.ф.,,,,,,,,,,,,,
Полурассеянной,И. С. Тургенев,Прилагательное,"Это был стройный мальчик, с красивыми и тонкими, немного мелкими чертами лица, кудрявыми белокурыми волосами, светлыми глазами и постоянной полувесёлой, полурассеянной улыбкой.",какой,полурассеянный,определение.,,,ж.р.,,ед.ч.,Т.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Неприхотливого,Н. Н. Михайлов,Прилагательное,Подножия вулкана окутаны тёмно-зелёным покровом — зарослями кедрового неприхотливого кустарника Севера.,какого,неприхотливый,определение.,,,м.р.,,ед.ч.,Р.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Тонколистная,Ф. А. Абрамов,Прилагательное,"Да, уж такой наш человек: не успел ещё первый дымок над крышей взвиться, а смотришь — где-нибудь у крылечка уже полощется на ветру тонколистная берёза.",какая,тонколистный,определение.,,,ж.р.,,ед.ч.,И.п.,относит.,полн.ф.,,,,,,,,,,,,,
Серебристо-голубых,А. С. Грин,Прилагательное,"Лучшие сорта тюльпанов — серебристо-голубых, фиолетовых и чёрных с розовой тенью — извивались в газоне лини ями прихотливо брошенных ожерелий.",каких,серебристо-голубой,определение.,,,,,мн.ч.,Р.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Нездоровым,Ф. М. Достоевский,Прилагательное,"Ещё с утра я чувствовал себя нездоровым, а к закату солнца мне стало даже и очень нехорошо: начиналось что-то вроде лихорадки.",каким,нездоровый,определение.,,,м.р.,,ед.ч.,Т.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Целый,Ф. М. Достоевский,Прилагательное,К тому же я целый день был на ногах и устал.,какой,целый,определение.,,,м.р.,,ед.ч.,И.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
(по) Вознесенскому,Ф. М. Достоевский,Прилагательное,"К вечеру, перед самыми сумерками, проходил и по Вознесенскому проспекту.",какому,вознесенский,определение.,,,м.р.,,ед.ч.,Д.п.,относит.,полн.ф.,,,,,,,,,,,,,
Мартовское,Ф. М. Достоевский,Прилагательное,"Я люблю мартовское солнце в Петербурге, особенно закат, разумеется, в ясный морозный вечер.",какое,мартовский,определение.,,,ср.р.,,ед.ч.,И.п.,относит.,полн.ф.,,,,,,,,,,,,,
Ярким,Ф. М. Достоевский,Прилагательное,"Вся улица вдруг блеснёт, облитая ярким светом.",каким,яркий,определение.,,,м.р.,,ед.ч.,Т.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Грязно-зелёные,Ф. М. Достоевский,Прилагательное,"Серые, жёлтые и грязно-зелёные цвета их потеряют на миг всю свою угрюмость; как будто на душе прояснеет, как будто вздрогнешь или кто-то подтолкнёт тебя локтем. ",какие,"грязно-зелёный,грязно-зеленый",определение.,,,,,мн.ч.,И.п.,качеств.,полн.ф.,положит.,,,,,,,,,,,,
Подавались,Н. В. Гоголь,Глагол,"Покамест ему подавались разные обычные в трактирах блюда, как то: щи с слоёным пирожком, нарочно сберегаемым для проезжающих в течение нескольких неделей, мозги с горошком, сосиски с капустой, пулярка жареная, огурец солёный и вечный слоёный сладкий пирожок, всегда готовый к услугам, он заставил слугу, или полового, рассказывать всякий вздор о том, кто содержал прежде трактир и кто теперь, и много ли даёт дохода, и большой ли подлец их хозяин; на что половой, по обыкновению, отвечал: «О, большой, сударь, мошенник».",делали,подаваться,сказуемое.,,,,,мн.ч.,,,,,несов.,невозвр.,перех.,II спр.,изъявит.,прош. вр.,3-е лицо,,,,,
